param x :=
<"1"> 40,
<"2"> 25,
<"3"> 22,
<"4"> 22,
<"5"> 20,
<"6"> 20,
<"7"> 18,
<"8"> 15,
<"9"> 15,
<"10"> 10,
<"11"> 10,
<"12"> 8,
<"13"> 8,
<"14"> 5,
<"15"> 5,
<"16"> 2,
<"17"> 0,
<"18"> 0,
<"19"> 44,
<"20"> 42,
<"21"> 42,
<"22"> 40,
<"23"> 40,
<"24"> 38,
<"25"> 38,
<"26"> 35,
<"27"> 95,
<"28"> 95,
<"29"> 92,
<"30"> 90,
<"31"> 88,
<"32"> 88,
<"33"> 87,
<"34"> 85,
<"35"> 85,
<"36"> 67,
<"37"> 65,
<"38"> 65,
<"39"> 62,
<"40"> 60,
<"41"> 60,
<"42"> 58,
<"43"> 55,
<"44"> 55,
<"45"> 55,
<"46"> 20,
<"47"> 18,
<"48"> 2,
<"49"> 42,
<"50"> 42,
;

param y :=
<"1"> 50,
<"2"> 85,
<"3"> 75,
<"4"> 85,
<"5"> 80,
<"6"> 85,
<"7"> 75,
<"8"> 75,
<"9"> 80,
<"10"> 35,
<"11"> 40,
<"12"> 40,
<"13"> 45,
<"14"> 35,
<"15"> 45,
<"16"> 40,
<"17"> 40,
<"18"> 45,
<"19"> 5,
<"20"> 10,
<"21"> 15,
<"22"> 5,
<"23"> 15,
<"24"> 5,
<"25"> 15,
<"26"> 5,
<"27"> 30,
<"28"> 35,
<"29"> 30,
<"30"> 35,
<"31"> 30,
<"32"> 35,
<"33"> 30,
<"34"> 25,
<"35"> 35,
<"36"> 85,
<"37"> 85,
<"38"> 82,
<"39"> 80,
<"40"> 80,
<"41"> 85,
<"42"> 75,
<"43"> 80,
<"44"> 85,
<"45"> 82,
<"46"> 82,
<"47"> 80,
<"48"> 45,
<"49"> 5,
<"50"> 12,
;
