param x :=
<"1"> 40,
<"2"> 25,
<"3"> 22,
<"4"> 22,
<"5"> 20,
<"6"> 20,
<"7"> 18,
<"8"> 15,
<"9"> 15,
<"10"> 10,
<"11"> 10,
<"12"> 8,
<"13"> 8,
<"14"> 5,
<"15"> 5,
<"16"> 2,
<"17"> 0,
<"18"> 0,
<"19"> 44,
<"20"> 42,
<"21"> 42,
<"22"> 40,
<"23"> 40,
<"24"> 38,
<"25"> 38,
<"26"> 35,
<"27"> 95,
<"28"> 95,
<"29"> 92,
<"30"> 90,
<"31"> 88,
<"32"> 88,
<"33"> 87,
<"34"> 85,
<"35"> 85,
<"36"> 67,
<"37"> 65,
<"38"> 65,
<"39"> 62,
<"40"> 60,
<"41"> 60,
<"42"> 58,
<"43"> 55,
<"44"> 55,
<"45"> 55,
<"46"> 20,
<"47"> 18,
<"48"> 2,
<"49"> 42,
<"50"> 42,
<"51"> 72,
<"52"> 55,
<"53"> 25,
<"54"> 20,
<"55"> 55,
<"56"> 30,
<"57"> 50,
<"58"> 30,
<"59"> 15,
<"60"> 10,
<"61"> 15,
<"62"> 45,
<"63"> 65,
<"64"> 65,
<"65"> 45,
<"66"> 35,
<"67"> 41,
<"68"> 64,
<"69"> 40,
<"70"> 31,
<"71"> 35,
<"72"> 65,
<"73"> 63,
<"74"> 2,
<"75"> 20,
<"76"> 5,
<"77"> 60,
<"78"> 23,
<"79"> 8,
<"80"> 6,
<"81"> 47,
<"82"> 49,
<"83"> 27,
<"84"> 37,
<"85"> 57,
<"86"> 63,
<"87"> 21,
<"88"> 12,
<"89"> 24,
<"90"> 67,
<"91"> 37,
<"92"> 49,
<"93"> 53,
<"94"> 61,
<"95"> 57,
<"96"> 56,
<"97"> 55,
<"98"> 4,
<"99"> 26,
<"100"> 26,
<"101"> 31,
;

param y :=
<"1"> 50,
<"2"> 85,
<"3"> 75,
<"4"> 85,
<"5"> 80,
<"6"> 85,
<"7"> 75,
<"8"> 75,
<"9"> 80,
<"10"> 35,
<"11"> 40,
<"12"> 40,
<"13"> 45,
<"14"> 35,
<"15"> 45,
<"16"> 40,
<"17"> 40,
<"18"> 45,
<"19"> 5,
<"20"> 10,
<"21"> 15,
<"22"> 5,
<"23"> 15,
<"24"> 5,
<"25"> 15,
<"26"> 5,
<"27"> 30,
<"28"> 35,
<"29"> 30,
<"30"> 35,
<"31"> 30,
<"32"> 35,
<"33"> 30,
<"34"> 25,
<"35"> 35,
<"36"> 85,
<"37"> 85,
<"38"> 82,
<"39"> 80,
<"40"> 80,
<"41"> 85,
<"42"> 75,
<"43"> 80,
<"44"> 85,
<"45"> 82,
<"46"> 82,
<"47"> 80,
<"48"> 45,
<"49"> 5,
<"50"> 12,
<"51"> 35,
<"52"> 20,
<"53"> 30,
<"54"> 50,
<"55"> 60,
<"56"> 60,
<"57"> 35,
<"58"> 25,
<"59"> 10,
<"60"> 20,
<"61"> 60,
<"62"> 65,
<"63"> 35,
<"64"> 20,
<"65"> 30,
<"66"> 40,
<"67"> 37,
<"68"> 42,
<"69"> 60,
<"70"> 52,
<"71"> 69,
<"72"> 55,
<"73"> 65,
<"74"> 60,
<"75"> 20,
<"76"> 5,
<"77"> 12,
<"78"> 3,
<"79"> 56,
<"80"> 68,
<"81"> 47,
<"82"> 58,
<"83"> 43,
<"84"> 31,
<"85"> 29,
<"86"> 23,
<"87"> 24,
<"88"> 24,
<"89"> 58,
<"90"> 5,
<"91"> 47,
<"92"> 42,
<"93"> 43,
<"94"> 52,
<"95"> 48,
<"96"> 37,
<"97"> 54,
<"98"> 18,
<"99"> 52,
<"100"> 35,
<"101"> 67,
;
