param x :=
<"1"> 40,
<"2"> 25,
<"3"> 22,
<"4"> 22,
<"5"> 20,
<"6"> 20,
<"7"> 18,
<"8"> 15,
<"9"> 15,
<"10"> 10,
<"11"> 10,
<"12"> 8,
<"13"> 8,
<"14"> 5,
<"15"> 5,
<"16"> 2,
<"17"> 0,
<"18"> 0,
<"19"> 44,
<"20"> 42,
<"21"> 42,
<"22"> 40,
<"23"> 40,
<"24"> 38,
<"25"> 38,
;

param y :=
<"1"> 50,
<"2"> 85,
<"3"> 75,
<"4"> 85,
<"5"> 80,
<"6"> 85,
<"7"> 75,
<"8"> 75,
<"9"> 80,
<"10"> 35,
<"11"> 40,
<"12"> 40,
<"13"> 45,
<"14"> 35,
<"15"> 45,
<"16"> 40,
<"17"> 40,
<"18"> 45,
<"19"> 5,
<"20"> 10,
<"21"> 15,
<"22"> 5,
<"23"> 15,
<"24"> 5,
<"25"> 15,
;
